                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0643,                 4.6108,                 1.3748,                0.90479,                0.66667,                0.88436,                0.69838,                 1.2691,                 1.3193,                 1.2462,                      0,                      0,                      0
                      2,                 1.2258,                 4.3168,                 1.6379,                0.94163,                0.66214,                 0.8859,                0.70037,                 1.2585,                 1.3332,                 1.2409,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0318,                 3.2521,                 1.2794,                0.94264,                0.66156,                 0.8842,                0.69991,                 1.2547,                 1.3533,                 1.2355,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2544,                 5.0008,                 1.4972,                 0.8448,                0.68956,                0.88421,                0.69959,                 1.2522,                 1.3791,                 1.2398,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.93611,                 3.1836,                 1.2503,                0.80539,                    0.7,                0.88264,                0.70707,                 1.2459,                 1.3944,                 1.2381,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.76567,                 3.1608,                 1.1907,                0.75552,                    0.7,                0.88367,                0.70743,                 1.2551,                  1.404,                 1.2397,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2717,                 4.9196,                 1.6632,                0.74469,                0.73333,                0.89015,                0.70704,                 1.2533,                 1.4057,                 1.2426,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1667,                 5.2206,                 1.7275,                0.68569,                0.73333,                0.89192,                0.70811,                 1.2291,                 1.4037,                 1.2315,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.2219,                 5.4786,                 1.6444,                0.90104,                0.62075,                0.89092,                0.70633,                 1.2165,                 1.4413,                 1.2271,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.3207,                 4.9693,                 1.6689,                0.89858,                0.61937,                0.89092,                0.70705,                 1.2142,                 1.4604,                 1.2258,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3925,                 5.2806,                 1.7159,                 0.8961,                0.61689,                0.89093,                0.70435,                 1.2065,                 1.4541,                 1.2219,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.1119,                 3.0489,                 1.3388,                0.91663,                0.61335,                0.89092,                0.70437,                 1.2027,                 1.4726,                 1.2248,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.89565,                 3.3066,                 1.2427,                0.91733,                0.61217,                0.84758,                0.67827,                 1.2004,                 1.4957,                 1.2285,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0538,                 4.8258,                 1.5506,                0.91799,                  0.611,                0.83133,                0.66894,                 1.1812,                 1.5278,                 1.2196,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0406,                 3.7472,                 1.3674,                 0.9214,                0.61112,                0.83262,                0.65422,                  1.177,                 1.5299,                 1.2156,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 0.7971,                 2.6683,                 1.1865,                0.92021,                0.61226,                0.80322,                0.63379,                 1.1677,                 1.5401,                 1.2144,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.79774,                  3.346,                 1.2513,                0.92166,                0.61213,                 0.8025,                0.62383,                 1.1671,                 1.5565,                  1.212,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.78605,                 2.4596,                 1.2805,                0.92166,                0.61213,                 0.8025,                0.62383,                 1.1671,                 1.5565,                  1.212,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 0.9788,                 3.0413,                 1.2929,                0.92131,                0.61293,                0.80064,                0.62501,                 1.1574,                 1.5609,                 1.2114,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.63173,                  2.426,                 1.1199,                0.92131,                0.61293,                0.80064,                0.62501,                 1.1574,                 1.5609,                 1.2114,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.80761,                 2.7687,                 1.2104,                0.92481,                0.61325,                0.68804,                0.52503,                 1.1481,                  1.587,                 1.2048,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.90007,                 2.3011,                 1.2064,                0.92481,                0.61325,                0.68804,                0.52503,                 1.1481,                  1.587,                 1.2048,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.67108,                 3.1043,                 1.2351,                0.92632,                0.61264,                0.68612,                0.52579,                 1.1545,                 1.6088,                 1.2093,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.70599,                 2.2992,                 1.2054,                0.92632,                0.61264,                0.68612,                0.52579,                 1.1545,                 1.6088,                 1.2093,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.67271,                 2.2383,                 1.1376,                0.92388,                0.61372,                0.67274,                0.52447,                 1.1627,                 1.6398,                 1.2111,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                  1.092,                 3.3972,                 1.6029,                0.92388,                0.61372,                0.67274,                0.52447,                 1.1627,                 1.6398,                 1.2111,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.82184,                 3.2115,                 1.3249,                0.92236,                0.61586,                0.62944,                 0.4829,                 1.1743,                 1.6076,                 1.2162,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.58924,                 2.2712,                 1.1978,                0.92236,                0.61586,                0.62944,                 0.4829,                 1.1743,                 1.6076,                 1.2162,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.88092,                 1.8437,                 1.2189,                0.91801,                 0.6161,                 0.6295,                0.47145,                 1.1819,                 1.6177,                 1.2129,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.86351,                 1.6562,                 1.1601,                0.91801,                 0.6161,                 0.6295,                0.47145,                 1.1819,                 1.6177,                 1.2129,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.86535,                 2.2509,                  1.193,                0.91673,                0.61534,                0.62955,                0.47191,                 1.1904,                 1.6494,                  1.216,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.72801,                 1.9261,                 1.2324,                0.91673,                0.61534,                0.62955,                0.47191,                 1.1904,                 1.6494,                  1.216,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0432,                 3.1967,                 1.4776,                0.91678,                0.61503,                0.62864,                0.46724,                 1.2005,                 1.6833,                 1.2222,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.75076,                 1.6499,                 1.1469,                0.91678,                0.61503,                0.62864,                0.46724,                 1.2005,                 1.6833,                 1.2222,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.82223,                 2.1257,                  1.289,                0.91581,                0.61413,                 0.6276,                 0.4688,                 1.1848,                 1.6864,                 1.2166,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.81834,                 2.4271,                 1.3064,                0.91581,                0.61413,                 0.6276,                 0.4688,                 1.1848,                 1.6864,                 1.2166,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.63951,                  1.755,                 1.1949,                0.91642,                0.61511,                0.62599,                0.46602,                  1.178,                 1.6901,                 1.2101,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.59259,                 1.8178,                  1.172,                0.91642,                0.61511,                0.62599,                0.46602,                  1.178,                 1.6901,                 1.2101,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.68614,                 1.7188,                 1.1657,                0.90709,                0.61548,                0.62761,                0.46659,                 1.1832,                 1.7346,                 1.2147,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.81053,                 1.5435,                 1.1872,                0.90709,                0.61548,                0.62761,                0.46659,                 1.1832,                 1.7346,                 1.2147,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.51028,                 1.0031,                0.99589,                0.90538,                0.61043,                0.61953,                0.46331,                 1.1922,                 1.7362,                 1.2175,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.77196,                 1.4331,                 1.2129,                0.90538,                0.61043,                0.61953,                0.46331,                 1.1922,                 1.7362,                 1.2175,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 0.6729,                 1.6504,                 1.2026,                0.88145,                 0.5906,                0.59672,                0.46145,                 1.2111,                 1.7763,                 1.2251,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.63848,                 2.2748,                 1.2294,                0.88145,                 0.5906,                0.59672,                0.46145,                 1.2111,                 1.7763,                 1.2251,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.56403,                 1.1852,                 1.0583,                0.87786,                0.58881,                0.59576,                0.46196,                 1.2284,                 1.8269,                 1.2301,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.62493,                0.94735,                 1.0862,                0.87786,                0.58881,                0.59576,                0.46196,                 1.2284,                 1.8269,                 1.2301,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.45529,                 1.4794,                 1.0433,                0.88032,                0.59396,                0.59471,                0.46336,                 1.2361,                 1.8598,                  1.233,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.95016,                 2.1411,                 1.4371,                0.88032,                0.59396,                0.59471,                0.46336,                 1.2361,                 1.8598,                  1.233,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.58914,                 1.2239,                 1.1216,                0.88197,                0.59548,                0.59574,                0.46356,                 1.2434,                 1.8928,                 1.2322,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.65339,                 1.0814,                 1.1021,                0.88197,                0.59548,                0.59574,                0.46356,                 1.2434,                 1.8928,                 1.2322,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.74103,                 1.4803,                 1.2203,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.55003,                 1.4004,                 1.1378,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.83527,                 2.2115,                 1.3249,                0.90248,                0.61133,                0.62268,                0.46292,                 1.2745,                 1.9504,                  1.239,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.51294,                 1.0769,                 1.0417,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.74629,                 1.5162,                 1.2653,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.71556,                 1.7083,                 1.1839,                0.87257,                0.59336,                 0.5961,                0.46006,                 1.2906,                 1.9816,                  1.244,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.58626,                  1.103,                 1.1354,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.75166,                 1.2884,                 1.2502,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.61784,                 1.2371,                 1.1594,                0.86241,                0.58476,                 0.5978,                0.45978,                 1.2942,                 1.9488,                 1.2481,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.69045,                0.84676,                 1.0938,                0.86699,                 0.5786,                0.59623,                0.47575,                 1.2988,                 2.0002,                 1.2425,               2.92e-05,               2.92e-05,               2.92e-05
